"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Calling setLevel(0) forces HLS.js to lock to the lowest quality rendition
regardless of available bandwidth. This is useful for testing degraded
network conditions without actual throttling.

**Pass condition:** `currentLevelIndex === 0` within 10 s.","5721","manual level override forces lowest quality","chromium","2026-04-27","passed","2026-04-27","ABR & Bitrate (HLS.js level management)","player-controls.spec.ts","",""
"**Scenario:** Startup delay — HLS manifest attach is intentionally delayed by 2 800 ms.

Validates that the QoE probe correctly measures the injected startup penalty.
47 % of viewers abandon a stream that takes > 3 s to start; early detection
in CI prevents regressions landing in production.

**Pass condition:** `timeToFirstFrameMs > 2 000`","3667","startup_delay: time-to-first-frame reflects injected delay","chromium","2026-04-27","passed","2026-04-27","QoE quality gates (workshop demos)","qoe-gates.spec.ts","",""
"**Scenario:** Mid-play rebuffering — HLS segment loading is halted at 4 500 ms
for 2 200 ms, then resumed.

Rebuffering mid-play is the primary driver of viewer churn. The QoE collector
must detect the stall via the `waiting` media event, measure its duration,
and accumulate it in `totalBufferingTime`.

**Pass condition:** `bufferingEventsCount > 0` OR `totalBufferingTime > 0.05 s`","3696","forced_mid_play_rebuffer: records at least one buffering span","chromium","2026-04-27","passed","2026-04-27","QoE quality gates (workshop demos)","qoe-gates.spec.ts","",""
"Seeking to 0 resets the playhead to the beginning of the stream.","4648","seek to 0 resets playhead to beginning","chromium","2026-04-27","passed","2026-04-27","Player Controls (pause / play / seek)","player-controls.spec.ts","",""
"Calling setLevel(0) forces HLS.js to lock to the lowest quality rendition
regardless of available bandwidth. This is useful for testing degraded
network conditions without actual throttling.

**Pass condition:** `currentLevelIndex === 0` within 10 s.","95895","manual level override forces lowest quality","chromium","2026-04-27","broken","2026-04-27","ABR & Bitrate (HLS.js level management)","player-controls.spec.ts","",""
"","95599","seek to 0 resets playhead to beginning","chromium","2026-04-27","broken","2026-04-27","Player Controls (pause / play / seek)","player-controls.spec.ts","",""
"After the first frame is rendered, HLS.js should have locked into a specific
quality level (currentLevelIndex ≥ 0).

**Pass condition:** `currentLevelIndex ≥ 0`","95673","ABR selects a valid quality level after first frame","chromium","2026-04-27","broken","2026-04-27","ABR & Bitrate (HLS.js level management)","player-controls.spec.ts","",""
"After the first frame is rendered, HLS.js should have locked into a specific
quality level (currentLevelIndex ≥ 0).

**Pass condition:** `currentLevelIndex ≥ 0`","4553","ABR selects a valid quality level after first frame","chromium","2026-04-27","passed","2026-04-27","ABR & Bitrate (HLS.js level management)","player-controls.spec.ts","",""
"**Scenario:** Mid-play rebuffering — HLS segment loading is halted at 4 500 ms
for 2 200 ms, then resumed.

Rebuffering mid-play is the primary driver of viewer churn. The QoE collector
must detect the stall via the `waiting` media event, measure its duration,
and accumulate it in `totalBufferingTime`.

**Pass condition:** `bufferingEventsCount > 0` OR `totalBufferingTime > 0.05 s`","95738","forced_mid_play_rebuffer: records at least one buffering span","chromium","2026-04-27","broken","2026-04-27","QoE quality gates (workshop demos)","qoe-gates.spec.ts","",""
"","95637","seek backward: currentTime rewinds to earlier position","chromium","2026-04-27","broken","2026-04-27","Player Controls (pause / play / seek)","player-controls.spec.ts","",""
"Verifies that calling play() after pause() resumes advancement of currentTime.

**Pass condition:** currentTime advances > 0.5 s within 5 s of resume.","1600","resume after pause restarts playback","chromium","2026-04-27","passed","2026-04-27","Player Controls (pause / play / seek)","player-controls.spec.ts","",""
"Seeks the playhead forward to 20 s and verifies the video element reports
the new position within ±2 s.

**Pass condition:** `currentTime ≥ 18 s`","642","seek forward: currentTime jumps to target position","chromium","2026-04-27","passed","2026-04-27","Player Controls (pause / play / seek)","player-controls.spec.ts","",""
"Seeks the playhead forward to 30 s, then rewinds back to 5 s. Verifies that
the player correctly handles backward seeking in an HLS VOD stream.

**Pass condition:** currentTime ≤ 8 s after the backward seek.","5656","seek backward: currentTime rewinds to earlier position","chromium","2026-04-27","passed","2026-04-27","Player Controls (pause / play / seek)","player-controls.spec.ts","",""
